tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,total_amount
01/09/2015 0:06,01/09/2015 0:17,3.37,-74.00881958,40.71600723,-73.99099731,40.75577927,13.8
01/09/2015 0:06,01/09/2015 0:13,2.39,-73.98236847,40.7766304,-73.959198,40.8019104,12.88
01/09/2015 0:06,01/09/2015 0:25,16,-73.87490082,40.77384186,-73.71344757,40.67735291,52.8
01/09/2015 0:06,01/09/2015 0:13,1.6,-73.98473358,40.74830627,-73.98632813,40.76206589,8.8
01/09/2015 0:06,01/09/2015 0:35,7.22,-73.98226929,40.75767136,-73.91217041,40.82141113,33.96
01/09/2015 0:06,01/09/2015 0:13,2.38,-74.01421356,40.70623016,-73.99636841,40.7379303,10.3
01/09/2015 0:06,01/09/2015 0:08,0.4,-73.9755249,40.75208282,-73.9707489,40.74862671,7.8
01/09/2015 0:06,01/09/2015 0:13,1.81,-74.00241089,40.75027084,-74.00449371,40.73065186,8.8
01/09/2015 0:06,01/09/2015 0:09,0.71,-73.9906311,40.7610817,-73.99739838,40.75391388,6.96
01/09/2015 0:06,01/09/2015 0:13,1.3,-73.93230438,40.6973877,-73.91356659,40.68864441,8.3
01/09/2015 0:06,01/09/2015 0:17,3.93,-74.01616669,40.70669174,-73.97901917,40.66590881,20.34
01/09/2015 0:06,01/09/2015 0:32,7.95,-73.91342163,40.83261871,-73.95484924,40.80432892,27.3
01/09/2015 0:06,01/09/2015 0:26,5.3,-73.99543762,40.73937988,-73.95742035,40.80424881,23.76
01/09/2015 0:06,01/09/2015 0:08,0.6,-73.98966217,40.734272,-73.9991684,40.73830795,5.3
01/09/2015 0:06,01/09/2015 0:17,3.5,-73.98235321,40.74018478,-73.94861603,40.77917862,15.95
01/09/2015 0:06,01/09/2015 0:10,0.9,-73.98730469,40.75579071,-73.9831543,40.76439285,6.3
01/09/2015 0:06,01/09/2015 0:06,1.3,-73.98342896,40.7412262,-73.98342133,40.74122238,3.8
01/09/2015 0:06,01/09/2015 0:23,10.22,-73.87288666,40.7740593,-73.92884064,40.86582184,44.8
01/09/2015 0:06,01/09/2015 0:14,1.7,-73.96884918,40.75838852,-73.95012665,40.77223587,10.5
01/09/2015 0:06,01/09/2015 0:25,4.5,-73.98051453,40.73055267,-73.9649353,40.68832779,19.3
01/09/2015 0:06,01/09/2015 0:25,4.04,-74.00675201,40.73033142,-73.96378326,40.75606155,21.62
01/09/2015 0:06,01/09/2015 0:17,2.3,-73.99869537,40.7198143,-73.99287415,40.6974678,13.8
01/09/2015 0:06,01/09/2015 0:35,7.3,-74.00803375,40.72359467,-73.92494202,40.76117325,27.3
01/09/2015 0:06,01/09/2015 0:12,1.2,-73.98986053,40.72956085,-73.98188019,40.74245834,8.8
01/09/2015 0:06,01/09/2015 0:15,1.3,-73.98631287,40.7567482,-73.96981812,40.75732803,11.15
01/09/2015 0:06,01/09/2015 0:26,5.2,-73.98821259,40.74560547,-73.96803284,40.80023956,24.36
01/09/2015 0:06,01/09/2015 0:10,0.7,-73.97531128,40.75638962,-73.97359467,40.74779892,7.55
01/09/2015 0:06,01/09/2015 0:18,2,-74.00038147,40.7322197,-73.99333191,40.75255966,13.55
01/09/2015 0:06,01/09/2015 0:26,10.44,-73.79016876,40.64709473,-73.93081665,40.6848259,31.3
01/09/2015 0:06,01/09/2015 0:24,7.97,-73.87091064,40.7737999,-73.95565796,40.80672073,34.84
01/09/2015 0:06,01/09/2015 0:10,0.6,-73.9927063,40.74281693,-73.98713684,40.73662567,6.3
01/09/2015 0:06,01/09/2015 0:08,0.2,-73.98960114,40.72985458,-73.98694611,40.73300171,4.8
01/09/2015 0:06,01/09/2015 0:15,1.54,-73.98374176,40.74969101,-73.9803772,40.73437881,9.8
01/09/2015 0:06,01/09/2015 0:12,1,-73.97137451,40.75763321,-73.97573853,40.74482346,8.75
01/09/2015 0:06,01/09/2015 0:12,1.39,-73.98527527,40.75035858,-73.99253845,40.73422623,7.8
01/09/2015 0:06,01/09/2015 0:27,3.9,-74.003479,40.74149323,-74.00567627,40.71027756,17.8
01/09/2015 0:06,01/09/2015 0:21,4.3,-73.98262024,40.74531937,-73.94450378,40.79906082,18.8
01/09/2015 0:06,01/09/2015 0:17,2.76,-73.98216248,40.77207947,-73.9577713,40.8021698,14.76
01/09/2015 0:06,01/09/2015 0:23,10.6,-73.86400604,40.77000427,-73.98303986,40.68970108,36.3
